id,unit_id,code,chapter_name,display_order,created_at,is_test_enabled
bfd726b7-2e78-4786-9c33-8ebc1300a34d,14013fe1-4424-4375-8a96-a00bb0e14e7f,C1_CH1,Mole Concept,1,2026-06-20 14:57:02.311375+00,FALSE
14d0762e-6a1f-47b1-a930-6cd65d9d07e6,9c6358a2-6344-4341-8884-19edafce119d,C10_CH1,Electrochemistry,1,2026-06-20 14:57:02.311375+00,FALSE
f8e2bfd8-d36c-420a-a621-f5f758528bd7,7eafd069-1748-4553-987e-ac2baff25166,C11_CH1,Reaction Kinetics,1,2026-06-20 14:57:02.311375+00,FALSE
98260305-abdf-4d08-859f-d4c98fff8c42,a3231793-670d-4b05-90b7-4a579f13127e,C12_CH1,Adsorption and Colloids,1,2026-06-20 14:57:02.311375+00,FALSE
f90bab29-a3f6-4879-a7d2-ebbe8f79ad5b,e96caab4-b273-443c-bd56-a113f18fbf14,C13_CH1,Periodic Table,1,2026-06-20 14:57:13.457371+00,FALSE
f349f47e-372c-47b6-88dd-5003b16c0404,34ad5eea-afe5-4846-8cde-9bcb4a690479,C14_CH1,Hydrogen,1,2026-06-20 14:57:13.457371+00,FALSE
ca712205-93aa-4d80-9f32-aa7edf5c0620,3a5c044d-2295-40b2-add7-9a794fd1d9f5,C15_CH1,Alkali Metals,1,2026-06-20 14:57:13.457371+00,FALSE
a9ae288a-5d39-4b35-9927-60bfdbbfb117,3a5c044d-2295-40b2-add7-9a794fd1d9f5,C15_CH2,Alkaline Earth Metals,2,2026-06-20 14:57:13.457371+00,FALSE
7991a681-4604-47b4-88b5-4d2fcc5b7caf,27009134-b77f-4fc0-a09b-7f85ac914971,C16_CH1,Group 13,1,2026-06-20 14:57:13.457371+00,FALSE
e1d4d78e-6648-49d8-aa22-8cdc21b89a22,27009134-b77f-4fc0-a09b-7f85ac914971,C16_CH2,Group 14,2,2026-06-20 14:57:13.457371+00,FALSE
54a865bc-ad06-4bd5-a72e-3bc71b1acf6d,27009134-b77f-4fc0-a09b-7f85ac914971,C16_CH3,Group 15,3,2026-06-20 14:57:13.457371+00,FALSE
b532206a-f830-4f64-b5a1-9a8a57e4944c,27009134-b77f-4fc0-a09b-7f85ac914971,C16_CH4,Group 16,4,2026-06-20 14:57:13.457371+00,FALSE
54689a70-905b-43e3-8662-d8f84f42379b,27009134-b77f-4fc0-a09b-7f85ac914971,C16_CH5,Group 17,5,2026-06-20 14:57:13.457371+00,FALSE
cf13ad60-30df-4d7b-84b7-d53b3a6766e6,27009134-b77f-4fc0-a09b-7f85ac914971,C16_CH6,Group 18,6,2026-06-20 14:57:13.457371+00,FALSE
9dedf656-f678-4943-8c06-2837dcd554d9,35db5cc5-f5db-49f4-a4a5-b222e3f2b27d,C17_CH1,Transition Elements,1,2026-06-20 14:57:13.457371+00,FALSE
45960637-9a45-42a7-8aaa-cc297719820c,10a4f84c-3dcb-4bea-91fd-f6ef131c86b2,C18_CH1,Inner Transition Elements,1,2026-06-20 14:57:13.457371+00,FALSE
067dc526-f111-4a59-a362-77b8a71e2bad,89757b3d-926f-4fe3-bb08-1b13cf1c0041,C19_CH1,Coordination Chemistry,1,2026-06-20 14:57:13.457371+00,FALSE
fb031d32-e158-47e0-9ea0-3e8eaa9c8ebf,a0f5769e-5fa9-45ab-ae31-4ade5187ef8e,C2_CH1,Atomic Models,1,2026-06-20 14:57:02.311375+00,FALSE
8c4dd480-ed9e-4877-b95c-de4199f7dd7d,3449b79d-a1a4-4f12-a89a-ae80d9b677d6,C20_CH1,Extraction of Metals,1,2026-06-20 14:57:13.457371+00,FALSE
92f8cd24-d33e-4688-bbfb-1dbe7cab562c,c4a68592-f5bf-4258-9b56-737145f971b0,C21_CH1,Fundamental Concepts,1,2026-06-20 14:57:24.21833+00,FALSE
08519477-ac65-4012-943f-0a9931af6eef,654d45df-cdbf-4633-b939-0129253b6eab,C22_CH1,Alkanes,1,2026-06-20 14:57:24.21833+00,FALSE
eff4349e-287c-4db7-aa9d-7f0d1ca08936,654d45df-cdbf-4633-b939-0129253b6eab,C22_CH2,Alkenes,2,2026-06-20 14:57:24.21833+00,FALSE
0d15f4d7-c946-4684-8d66-ab3255b12937,654d45df-cdbf-4633-b939-0129253b6eab,C22_CH3,Alkynes,3,2026-06-20 14:57:24.21833+00,FALSE
33ee3c01-11e5-4a76-bace-a95dd25a4d4b,654d45df-cdbf-4633-b939-0129253b6eab,C22_CH4,Aromatic Hydrocarbons,4,2026-06-20 14:57:24.21833+00,FALSE
621d33ca-85b1-481f-bbe1-14458bba3788,8a8aba42-b7b3-4c75-a8dd-314d896f93af,C23_CH1,Haloalkanes,1,2026-06-20 14:57:24.21833+00,FALSE
4bfbd6d6-9057-4a65-9ee2-b6f0b75cdea4,8a8aba42-b7b3-4c75-a8dd-314d896f93af,C23_CH2,Haloarenes,2,2026-06-20 14:57:24.21833+00,FALSE
25c5d20c-a05d-4973-9db6-701969bb9b92,ddcdfb79-b2b7-4f5d-8557-39fe17265b1b,C24_CH1,Alcohols,1,2026-06-20 14:57:24.21833+00,FALSE
d82eeec3-5736-424d-b842-a805bd84e27e,ddcdfb79-b2b7-4f5d-8557-39fe17265b1b,C24_CH2,Phenols,2,2026-06-20 14:57:24.21833+00,FALSE
d917ab10-6b96-4be3-b4d8-c8fb73d922ff,ddcdfb79-b2b7-4f5d-8557-39fe17265b1b,C24_CH3,Ethers,3,2026-06-20 14:57:24.21833+00,FALSE
3a1fd21e-3b43-4ed6-bb01-88ad59fe909f,d498886d-a2e1-4a1d-b23e-f9ded4daabf9,C25_CH1,Aldehydes and Ketones,1,2026-06-20 14:57:24.21833+00,FALSE
30e1512b-4330-4d40-8f9d-012b92e9a968,d498886d-a2e1-4a1d-b23e-f9ded4daabf9,C25_CH2,Carboxylic Acids,2,2026-06-20 14:57:24.21833+00,FALSE
c0f800e2-c831-44dd-8021-2bc196bc2a75,6a3e63a2-e2bd-4473-84da-a80ac2011a5b,C26_CH1,Amines,1,2026-06-20 14:57:24.21833+00,FALSE
5f3cf683-7b37-472a-9da7-6403ae7d863c,8bceb272-bdf9-446c-abcd-c00f0bf91464,C27_CH1,Carbohydrates,1,2026-06-20 14:57:24.21833+00,FALSE
ffe7504c-e94f-4ef3-9c97-7ad82df21c6f,8bceb272-bdf9-446c-abcd-c00f0bf91464,C27_CH2,Proteins,2,2026-06-20 14:57:24.21833+00,FALSE
77e106e0-67a7-4239-93dd-eb221f8d5b5c,8bceb272-bdf9-446c-abcd-c00f0bf91464,C27_CH3,Vitamins,3,2026-06-20 14:57:24.21833+00,FALSE
3580ad84-4508-4f4d-a030-697a2f7bf49d,8bceb272-bdf9-446c-abcd-c00f0bf91464,C27_CH4,Nucleic Acids,4,2026-06-20 14:57:24.21833+00,FALSE
05087430-56b1-4dd5-8c6c-b63d7fd98d15,d6448d89-3e7f-48ed-bcb0-21c513fa8af9,C28_CH1,Polymer Chemistry,1,2026-06-20 14:57:24.21833+00,FALSE
7fae22f6-6d7a-41ac-8a58-2f1bbcef9b90,71b135da-2345-46bd-bb8d-666afbb7a40b,C29_CH1,Drugs and Medicines,1,2026-06-20 14:57:24.21833+00,FALSE
8e14b758-a0da-4d60-aa8f-536f70aeadc3,71b135da-2345-46bd-bb8d-666afbb7a40b,C29_CH2,Food Chemistry,2,2026-06-20 14:57:24.21833+00,FALSE
8eb5d5cb-396f-4507-943b-ce1ec20c4405,71b135da-2345-46bd-bb8d-666afbb7a40b,C29_CH3,Cleansing Agents,3,2026-06-20 14:57:24.21833+00,FALSE
745f7a0e-d786-4f23-91f3-155078d630c6,8c9949ba-934e-4de2-a501-9ca0e42eb7a1,C3_CH1,Chemical Bonding,1,2026-06-20 14:57:02.311375+00,FALSE
fcfcd476-77e8-4f7d-ae08-0956a08d5f8b,50d7acae-a7de-446f-aafc-4de3501e44c4,C4_CH1,Gaseous State,1,2026-06-20 14:57:02.311375+00,FALSE
b9e0a18d-53fa-40b4-bc4a-2e6a3fb15683,50d7acae-a7de-446f-aafc-4de3501e44c4,C4_CH2,Liquid State,2,2026-06-20 14:57:02.311375+00,FALSE
13661a35-fdd8-4262-a34c-8eba15db01e6,2b13ca80-4ff6-4086-81e4-0078e6be87d7,C5_CH1,Thermochemistry,1,2026-06-20 14:57:02.311375+00,FALSE
8934485b-936b-4341-bb4b-cc67d84d4f5a,a02efea6-5186-4c8d-8039-9db1c9c26b28,C6_CH1,Chemical Equilibrium,1,2026-06-20 14:57:02.311375+00,FALSE
e12ece47-672f-4ffe-ad28-11118246b870,335921a3-2e3a-4153-b830-27f980f781e6,C7_CH1,Ionic Equilibrium,1,2026-06-20 14:57:02.311375+00,FALSE
37d391be-fd3a-4975-9b04-d5318e7418a3,74ec7f07-c6eb-4193-9b18-c7c44c0a3dea,C8_CH1,Redox Chemistry,1,2026-06-20 14:57:02.311375+00,FALSE
82163758-6a2b-41e6-9381-23350b13e5b5,4a7e0bfc-5b91-48af-b7b4-12b826ec7daa,C9_CH1,Solutions,1,2026-06-20 14:57:02.311375+00,FALSE
