id,chapter_id,code,subtopic_name,display_order,created_at,is_test_enabled
a2b8ccd6-efb6-418c-8b39-9b8f1fdc07c2,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST1,Atomic Mass,1,2026-06-20 14:59:21.130436+00,TRUE
95397163-f22d-4787-9701-248a5238c599,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST2,Mole Concept,2,2026-06-20 14:59:21.130436+00,TRUE
b6f89a64-b474-476b-b1c0-f7dc570ff420,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST3,Avogadro Number,3,2026-06-20 14:59:21.130436+00,TRUE
3884800f-033a-42e1-9a5f-7310695466e0,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST4,Percentage Composition,4,2026-06-20 14:59:21.130436+00,TRUE
f228f34b-30d9-42ed-ae93-52cdddf606b5,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST5,Empirical Formula,5,2026-06-20 14:59:21.130436+00,TRUE
e38737dc-b38e-4621-bad3-569c1ff1536c,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST6,Molecular Formula,6,2026-06-20 14:59:21.130436+00,TRUE
4b605257-b697-48fa-baf2-5912a7b9dbb4,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST7,Stoichiometry,7,2026-06-20 14:59:21.130436+00,TRUE
612a6d39-4aa1-4887-ba32-cbbda804cf8f,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST8,Limiting Reagent,8,2026-06-20 14:59:21.130436+00,TRUE
1a32ec75-f2d1-4afc-a90a-2761d206edf6,bfd726b7-2e78-4786-9c33-8ebc1300a34d,C1_CH1_ST9,Concentration Terms,9,2026-06-20 14:59:21.130436+00,TRUE
c2748ca9-40e1-48e2-9e2f-9ae3a2d95f9f,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST1,Conductance,1,2026-06-20 15:34:06.748698+00,TRUE
6110c988-859b-4c51-85b3-a53a242df851,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST10,Gibbs Energy and Cell Potential,10,2026-06-20 15:34:06.748698+00,TRUE
ae1a9985-0863-4478-b868-6f2073642f43,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST11,Batteries,11,2026-06-20 15:34:06.748698+00,TRUE
6ad1f30a-9a52-4138-b601-f42da8556e86,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST12,Fuel Cells,12,2026-06-20 15:34:06.748698+00,TRUE
9aeeefdb-05ac-4877-82fe-1f17224e4fed,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST13,Corrosion,13,2026-06-20 15:34:06.748698+00,TRUE
785accfd-0e4e-4154-aa6c-5b22b5620984,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST2,Specific Conductance,2,2026-06-20 15:34:06.748698+00,TRUE
ac2783d6-0bd1-489f-946d-f33735a7e980,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST3,Molar Conductivity,3,2026-06-20 15:34:06.748698+00,TRUE
9e8a32e7-02eb-4917-8f92-35abddb0fbc2,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST4,Kohlrausch Law,4,2026-06-20 15:34:06.748698+00,TRUE
44fa9ed6-eb72-4042-bbd3-168adff9432c,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST5,Electrolytic Cells,5,2026-06-20 15:34:06.748698+00,TRUE
705fadea-a74d-4b44-bec3-3aeca6e05b58,14d0762e-6a1f-47b1-a930-6cd65d9d07e6,C10_CH1_ST6,Galvanic Cells,6,2026-06-20 15:34:06.748698+00,TRUE
