id,unit_id,code,chapter_name,display_order,created_at,is_test_enabled
d9e6faab-a092-47e9-a8a9-760709414104,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH1,Classification of Numbers,1,2026-06-13 18:16:37.429953+00,TRUE
a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH10,Greatest Integer Function,10,2026-06-13 18:16:37.429953+00,FALSE
63862547-2a2a-48da-bce4-32988393b197,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH11,Fractional Part Function,11,2026-06-13 18:16:37.429953+00,FALSE
4031fa19-131f-4983-83f6-86fa2d6a913c,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH12,Modular Arithmetic,12,2026-06-13 18:16:37.429953+00,FALSE
7f1276ef-488e-4905-b3bd-6e78e0f01761,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH13,Cyclicity and Remainders,13,2026-06-13 18:16:37.429953+00,FALSE
6d6a0d34-4e11-48cc-83fd-d4230836d33b,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH14,Base Systems,14,2026-06-13 18:16:37.429953+00,FALSE
a319b02f-60a8-41e4-8fe5-28be87fae296,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH15,Surds and Indices,15,2026-06-13 18:16:37.429953+00,FALSE
8941f0f7-6000-4496-8c34-c3efd03b1252,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH16,Logarithms,16,2026-06-13 18:16:37.429953+00,FALSE
58cfbfd6-cdad-4b06-9a73-26f922d8c8a1,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH2,Rational Numbers,2,2026-06-13 18:16:37.429953+00,FALSE
0155f264-edf7-4396-9a0c-0e4f13b1c46d,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH3,Irrational Numbers,3,2026-06-13 18:16:37.429953+00,FALSE
dd699a47-2e84-4716-9e65-839c974407f2,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH4,Real Numbers,4,2026-06-13 18:16:37.429953+00,FALSE
36e2e303-cdf1-4252-a25e-07adeb44471e,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH5,Number Line and Ordering,5,2026-06-13 18:16:37.429953+00,FALSE
186805f6-d56e-4e0d-9aa0-baeb05b14aa6,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH6,Modulus and Absolute Value,6,2026-06-13 18:16:37.429953+00,FALSE
6de2a981-c922-4dfe-96c7-13406a49d354,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH7,Decimal Expansion,7,2026-06-13 18:16:37.429953+00,FALSE
92af673f-26b6-47ce-a679-4af1e6569a0d,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH8,HCF and LCM,8,2026-06-13 18:16:37.429953+00,FALSE
56b540f8-a004-45a5-8df0-7749d22977ad,5e0e98dc-66a9-4f39-803c-250d515dfed7,U1_CH9,Euclid Division Algorithm,9,2026-06-13 18:16:37.429953+00,FALSE
31471b43-865e-4811-8d8e-164867944788,a4381166-f09c-46d2-8674-d5a417ea9bda,U10_CH1,Limits,1,2026-06-13 18:27:28.918322+00,FALSE
93ff29b3-12c6-49a1-8483-5897f1cc7d22,a4381166-f09c-46d2-8674-d5a417ea9bda,U10_CH2,Continuity,2,2026-06-13 18:27:28.918322+00,FALSE
505860fb-8495-4287-9b24-d18e84875ea7,a4381166-f09c-46d2-8674-d5a417ea9bda,U10_CH3,Differentiability,3,2026-06-13 18:27:28.918322+00,FALSE
741da618-c885-4ff4-94fb-da4e51b6b299,a4381166-f09c-46d2-8674-d5a417ea9bda,U10_CH4,Derivatives,4,2026-06-13 18:27:28.918322+00,FALSE
801d5bfd-b204-42db-b141-d1a7a7b8aded,a4381166-f09c-46d2-8674-d5a417ea9bda,U10_CH5,Applications of Derivatives,5,2026-06-13 18:27:28.918322+00,FALSE
33e43733-4b68-4f81-9319-e46b614fbc73,6b5c1f38-e020-479e-b70b-37e516fbbd7b,U11_CH1,Indefinite Integration,1,2026-06-13 18:28:10.066871+00,FALSE
7bfcff78-69e5-48b2-8de3-64e32de9ea4b,6b5c1f38-e020-479e-b70b-37e516fbbd7b,U11_CH2,Definite Integration,2,2026-06-13 18:28:10.066871+00,FALSE
72c275e7-56a3-44f4-abed-29bd5ddd4032,6b5c1f38-e020-479e-b70b-37e516fbbd7b,U11_CH3,Properties of Definite Integrals,3,2026-06-13 18:28:10.066871+00,FALSE
34735293-d248-465b-aabb-9a67901613f8,6b5c1f38-e020-479e-b70b-37e516fbbd7b,U11_CH4,Area Under Curves,4,2026-06-13 18:28:10.066871+00,FALSE
d2e52b47-924d-4737-ba4d-d98d8b9ea3fd,bed382a6-a2f4-4cdb-bdf8-6fa001bac57a,U12_CH1,Formation of Differential Equations,1,2026-06-13 18:31:14.455971+00,FALSE
54c6ff49-e566-447f-b1cc-efaed3014a6f,bed382a6-a2f4-4cdb-bdf8-6fa001bac57a,U12_CH2,Solution of Differential Equations,2,2026-06-13 18:31:14.455971+00,FALSE
1cc41b54-42a5-4c10-8f2c-759baacc09e9,bed382a6-a2f4-4cdb-bdf8-6fa001bac57a,U12_CH3,Variable Separable Differential Equations,3,2026-06-13 18:31:14.455971+00,FALSE
b6500a32-e44d-4bf1-9d48-a292856233ed,bed382a6-a2f4-4cdb-bdf8-6fa001bac57a,U12_CH4,Homogeneous Differential Equations,4,2026-06-13 18:31:14.455971+00,FALSE
ab9eacf2-af1e-46df-85e6-2ba4d1ce42d2,bed382a6-a2f4-4cdb-bdf8-6fa001bac57a,U12_CH5,Applications of Differential Equations,5,2026-06-13 18:31:14.455971+00,FALSE
0b0713ae-5391-445f-9f6b-f638bcf8cb3d,2ef2a1fd-7c6d-41dd-bffe-8e45ada90ab1,U13_CH1,Vector Algebra,1,2026-06-13 18:31:14.455971+00,FALSE
fdf8de33-608f-400a-8345-b8f3ac65014c,2ef2a1fd-7c6d-41dd-bffe-8e45ada90ab1,U13_CH2,Dot Product and Cross Product,2,2026-06-13 18:31:14.455971+00,FALSE
1ce77560-8f4f-409c-9a93-ab59f0a2d94b,2ef2a1fd-7c6d-41dd-bffe-8e45ada90ab1,U13_CH3,Scalar Triple Product,3,2026-06-13 18:31:14.455971+00,FALSE
