id,chapter_id,code,subtopic_name,display_order,created_at,is_test_enabled
391e9941-71a5-4d36-b2be-ffc08a539acc,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST1,"Natural Numbers, Whole Numbers and Integers",1,2026-06-14 01:05:26.315451+00,TRUE
cc53ec2d-ba3d-4b71-93ff-1598d82e1a3c,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST10,Divisibility Basics,10,2026-06-14 01:05:26.315451+00,TRUE
7a145680-6305-4fe0-9413-75df0a526654,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST2,Inclusion Relations among Number Sets,2,2026-06-14 01:05:26.315451+00,TRUE
2f0b6206-88e6-4daf-b1b5-a04ef2ac2fcd,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST3,Number Line Representation,3,2026-06-14 01:05:26.315451+00,TRUE
3ee2e478-ea4e-41ef-a949-2e87f3833d61,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST4,Ordering and Comparison,4,2026-06-14 01:05:26.315451+00,TRUE
015da9cd-191d-4f0a-8442-a4af9dafc028,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST5,Successor and Predecessor,5,2026-06-14 01:05:26.315451+00,TRUE
8f91ea1f-b9e7-4c90-b25a-e271e82c2aad,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST6,Even and Odd Numbers,6,2026-06-14 01:05:26.315451+00,TRUE
aefee4e8-6f70-4ca2-af8a-fb2213528ddd,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST7,Prime and Composite Numbers,7,2026-06-14 01:05:26.315451+00,TRUE
8e02e906-2774-4b20-abc0-d699e3b22388,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST8,Co-prime Numbers,8,2026-06-14 01:05:26.315451+00,TRUE
afc16f93-e6b0-4494-84e3-cd5398db0187,d9e6faab-a092-47e9-a8a9-760709414104,U1_CH1_ST9,Closure Properties,9,2026-06-14 01:05:26.315451+00,TRUE
d4229c99-9316-49ec-af92-276bc9dd5a6d,a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,U1_CH10_ST1,Definition,1,2026-06-14 01:06:20.535967+00,TRUE
745d32d0-d5fd-438d-9135-4e1603c71787,a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,U1_CH10_ST2,Basic Properties,2,2026-06-14 01:06:20.535967+00,TRUE
22616de8-e9c0-49e1-9330-2a53f236483b,a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,U1_CH10_ST3,Graph of Greatest Integer Function,3,2026-06-14 01:06:20.535967+00,TRUE
3fee0c72-83b5-4eee-837a-c007600ca2b0,a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,U1_CH10_ST4,Equations involving GIF,4,2026-06-14 01:06:20.535967+00,TRUE
152c720b-4a3b-459b-9a01-965002577d5e,a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,U1_CH10_ST5,Inequalities involving GIF,5,2026-06-14 01:06:20.535967+00,TRUE
93d1ade6-5c5f-4c5f-8483-bd270fc9c892,a04612fa-d9ab-435a-bf0e-23ec60bcf2e3,U1_CH10_ST6,Nested Greatest Integer Functions,6,2026-06-14 01:06:20.535967+00,TRUE
b1c3b8fa-0ddd-47f7-bc95-a140baff532e,63862547-2a2a-48da-bce4-32988393b197,U1_CH11_ST1,Definition,1,2026-06-14 01:06:20.535967+00,TRUE
e48f9909-6555-471f-8cd3-730860127f82,63862547-2a2a-48da-bce4-32988393b197,U1_CH11_ST2,Basic Properties,2,2026-06-14 01:06:20.535967+00,TRUE
b4b34491-d0ce-46ae-9ace-9bf43f5eb565,63862547-2a2a-48da-bce4-32988393b197,U1_CH11_ST3,Graph of Fractional Part Function,3,2026-06-14 01:06:20.535967+00,TRUE
18ede66b-9705-4ac0-9b29-25a2c1b5bab2,63862547-2a2a-48da-bce4-32988393b197,U1_CH11_ST4,Equations involving Fractional Part Function,4,2026-06-14 01:06:20.535967+00,TRUE
9e05b855-09d2-468e-8152-05d62ac6171f,63862547-2a2a-48da-bce4-32988393b197,U1_CH11_ST5,Inequalities involving Fractional Part Function,5,2026-06-14 01:06:20.535967+00,TRUE
