id,chapter_id,code,subtopic_name,display_order,created_at,is_test_enabled
b4d06745-0aad-4360-8824-eee3a7105fc6,9524811e-07e0-4acb-830c-671348e03de1,P1_CH1_ST1,Physical Quantities,1,2026-06-20 14:40:18.494714+00,TRUE
8916a5c2-a302-4fa6-9650-ac95df3b1f33,9524811e-07e0-4acb-830c-671348e03de1,P1_CH1_ST2,SI Units,2,2026-06-20 14:40:18.494714+00,TRUE
fc01ce38-bf51-41d4-b839-85dc1a8c8f1a,9524811e-07e0-4acb-830c-671348e03de1,P1_CH1_ST3,Dimensions,3,2026-06-20 14:40:18.494714+00,TRUE
eca3ac93-a40f-471e-9f9b-91c90aa71557,9524811e-07e0-4acb-830c-671348e03de1,P1_CH1_ST4,Dimensional Analysis,4,2026-06-20 14:40:18.494714+00,TRUE
13e34fa5-0f7a-40e4-8d53-76e1f7e68004,9524811e-07e0-4acb-830c-671348e03de1,P1_CH1_ST5,Significant Figures,5,2026-06-20 14:40:18.494714+00,TRUE
03590ba5-480d-46bb-8b4f-334aab7eab74,9524811e-07e0-4acb-830c-671348e03de1,P1_CH1_ST6,Errors and Measurements,6,2026-06-20 14:40:18.494714+00,TRUE
d076ef25-e0eb-444c-b965-c529f44a9c35,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST1,Characteristics of SHM,1,2026-06-20 14:42:39.581951+00,TRUE
5bc1760a-de35-49ad-90a9-31aae244c62d,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST10,Resonance,10,2026-06-20 14:42:39.581951+00,TRUE
0813306c-6afd-4ad4-a52b-2bbbeac31e9d,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST11,Angular Frequency,11,2026-06-20 14:42:39.581951+00,TRUE
0a28088b-6228-48b0-9231-f4bf48b6647f,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST2,SHM Equation,2,2026-06-20 14:42:39.581951+00,TRUE
92bfcebe-279a-4bb1-beef-6d39f9cf530f,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST3,Velocity in SHM,3,2026-06-20 14:42:39.581951+00,TRUE
3113449b-9a76-4931-ad08-b4c945e165b4,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST4,Acceleration in SHM,4,2026-06-20 14:42:39.581951+00,TRUE
a0b7bbcf-ab15-4438-ad3f-f2dc25ba51b0,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST5,Energy in SHM,5,2026-06-20 14:42:39.581951+00,TRUE
ee695f46-7559-4369-936f-ef4df2dc1ea4,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST6,Spring Mass System,6,2026-06-20 14:42:39.581951+00,TRUE
b67a590a-20bd-4f3f-b6e7-82a884c59af1,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST7,Combination of Springs,7,2026-06-20 14:42:39.581951+00,TRUE
5f763c41-0df0-4dd1-b2d2-1528f08bb501,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST8,Simple Pendulum,8,2026-06-20 14:42:39.581951+00,TRUE
8982619a-8fd9-4e22-b8ff-740f558093e9,486147dc-2fa1-4cc0-9abb-1ca99f84659f,P10_CH1_ST9,Damped Oscillations,9,2026-06-20 14:42:39.581951+00,TRUE
c320f7ec-396d-42ff-8f7c-ad5d2da49680,8d383808-3a6a-4a32-9dba-811f80910967,P10_CH2_ST1,Wave Motion,1,2026-06-20 14:42:39.581951+00,TRUE
