id,subject_id,code,unit_name,display_order,created_at,is_test_enabled
8ef26463-95d2-4f59-80dd-1ba033b1543d,e4d83913-f938-4537-90ab-36eeec70797f,P1,Units and Measurements,1,2026-06-20 14:30:50.569014+00,TRUE
bc136990-1291-4716-afa4-e965bafd2a08,e4d83913-f938-4537-90ab-36eeec70797f,P10,Oscillations and Waves,10,2026-06-20 14:30:50.569014+00,FALSE
9b257df7-dbae-45e5-8a2d-5d3a94a1e50d,e4d83913-f938-4537-90ab-36eeec70797f,P11,Electrostatics,11,2026-06-20 14:30:50.569014+00,FALSE
2c72fd55-71dc-4e9e-826e-13e2dc57f9f6,e4d83913-f938-4537-90ab-36eeec70797f,P12,Current Electricity,12,2026-06-20 14:30:50.569014+00,FALSE
b2de4787-28bf-472d-bf94-6fd4d8a950c8,e4d83913-f938-4537-90ab-36eeec70797f,P13,Moving Charges and Magnetism,13,2026-06-20 14:30:50.569014+00,FALSE
903cd32d-5ef9-4aae-ad61-7d33b061b018,e4d83913-f938-4537-90ab-36eeec70797f,P14,Magnetism and Matter,14,2026-06-20 14:30:50.569014+00,FALSE
3efe5ab5-0b73-49a5-a676-f8887063b605,e4d83913-f938-4537-90ab-36eeec70797f,P15,Electromagnetic Induction,15,2026-06-20 14:30:50.569014+00,FALSE
1a45ec4a-b507-43ec-9928-c39700c7f06f,e4d83913-f938-4537-90ab-36eeec70797f,P16,Alternating Current,16,2026-06-20 14:30:50.569014+00,FALSE
650935b4-d9ff-4c73-a8e3-967d9af9822c,e4d83913-f938-4537-90ab-36eeec70797f,P17,Electromagnetic Waves,17,2026-06-20 14:30:50.569014+00,FALSE
06816cff-61df-4417-b9db-a61ea2d7560f,e4d83913-f938-4537-90ab-36eeec70797f,P18,Ray Optics and Optical Instruments,18,2026-06-20 14:30:50.569014+00,FALSE
e98d7a8f-081c-4300-a6b9-e9d66e370b91,e4d83913-f938-4537-90ab-36eeec70797f,P19,Wave Optics,19,2026-06-20 14:30:50.569014+00,FALSE
547e1cd0-6469-4960-be13-f65a4feeb4b1,e4d83913-f938-4537-90ab-36eeec70797f,P2,Kinematics,2,2026-06-20 14:30:50.569014+00,FALSE
26786062-169c-4fba-aea4-5bd4ff7945e6,e4d83913-f938-4537-90ab-36eeec70797f,P20,Dual Nature of Matter and Radiation,20,2026-06-20 14:30:50.569014+00,FALSE
5e9a2493-bab5-427f-8f0f-b011f734ecd0,e4d83913-f938-4537-90ab-36eeec70797f,P21,Atoms,21,2026-06-20 14:30:50.569014+00,FALSE
ed41769b-ab37-4a06-a55e-f9f5f05129ed,e4d83913-f938-4537-90ab-36eeec70797f,P22,Nuclei,22,2026-06-20 14:30:50.569014+00,FALSE
f6c53951-65ad-440d-adb5-1b8e2784bd64,e4d83913-f938-4537-90ab-36eeec70797f,P23,Semiconductor Electronics,23,2026-06-20 14:30:50.569014+00,FALSE
f96c8ff3-6f1b-4f31-808f-dc4a2608e042,e4d83913-f938-4537-90ab-36eeec70797f,P3,Laws of Motion,3,2026-06-20 14:30:50.569014+00,FALSE
d4a46504-20af-4749-ac12-3da7ad5591cf,e4d83913-f938-4537-90ab-36eeec70797f,P4,"Work, Energy and Power",4,2026-06-20 14:30:50.569014+00,FALSE
92f2418b-e911-4195-bd34-c71c346587a3,e4d83913-f938-4537-90ab-36eeec70797f,P5,System of Particles and Rotational Motion,5,2026-06-20 14:30:50.569014+00,FALSE
8a8d73e6-321f-48a6-b8e3-5d02e32231bb,e4d83913-f938-4537-90ab-36eeec70797f,P6,Gravitation,6,2026-06-20 14:30:50.569014+00,FALSE
06d9a3cf-d1bc-4012-9483-9d664cea7c10,e4d83913-f938-4537-90ab-36eeec70797f,P7,Mechanical Properties of Solids and Fluids,7,2026-06-20 14:30:50.569014+00,FALSE
0ca4fbcf-db20-40d5-b70b-71af2e295c2e,e4d83913-f938-4537-90ab-36eeec70797f,P8,Thermodynamics,8,2026-06-20 14:30:50.569014+00,FALSE
485eea9b-a448-439a-9168-b6933b46742c,e4d83913-f938-4537-90ab-36eeec70797f,P9,Kinetic Theory of Gases,9,2026-06-20 14:30:50.569014+00,FALSE
