qp_id,subtopic_code,question_possibility
U1_CH1_ST1_QP001,U1_CH1_ST1,Definition of Natural Numbers
U1_CH1_ST1_QP002,U1_CH1_ST1,Definition of Whole Numbers
U1_CH1_ST1_QP003,U1_CH1_ST1,Definition of Integers
U1_CH1_ST1_QP004,U1_CH1_ST1,Identify Natural Number
U1_CH1_ST1_QP005,U1_CH1_ST1,Identify Whole Number
U1_CH1_ST1_QP006,U1_CH1_ST1,Identify Integer
U1_CH1_ST1_QP007,U1_CH1_ST1,Identify Non-Natural Number
U1_CH1_ST1_QP008,U1_CH1_ST1,Identify Non-Whole Number
U1_CH1_ST1_QP009,U1_CH1_ST1,Identify Non-Integer
U1_CH1_ST1_QP010,U1_CH1_ST1,Classify Given Number
U1_CH1_ST1_QP011,U1_CH1_ST1,Classify Multiple Numbers
U1_CH1_ST1_QP012,U1_CH1_ST1,Smallest Applicable Number Set
U1_CH1_ST1_QP013,U1_CH1_ST1,Membership of Zero
U1_CH1_ST1_QP014,U1_CH1_ST1,Membership of Positive Integer
U1_CH1_ST1_QP015,U1_CH1_ST1,Membership of Negative Integer
U1_CH1_ST1_QP016,U1_CH1_ST1,Boundary Classification (?1
U1_CH1_ST1_QP017,U1_CH1_ST1,Classification after Arithmetic Operation
U1_CH1_ST1_QP018,U1_CH1_ST1,Statement-based Classification
U1_CH1_ST1_QP019,U1_CH1_ST1,True/False Classification
U1_CH1_ST1_QP020,U1_CH1_ST1,Error Detection in Classification
U1_CH1_ST10_QP001,U1_CH1_ST10,Definition of Divisibility
U1_CH1_ST10_QP002,U1_CH1_ST10,Identify Divisor
U1_CH1_ST10_QP003,U1_CH1_ST10,Identify Multiple
U1_CH1_ST10_QP004,U1_CH1_ST10,Divisible or Not Divisible
U1_CH1_ST10_QP005,U1_CH1_ST10,Divisibility by 2
U1_CH1_ST10_QP006,U1_CH1_ST10,Divisibility by 3
U1_CH1_ST10_QP007,U1_CH1_ST10,Divisibility by 5
U1_CH1_ST10_QP008,U1_CH1_ST10,Divisibility by 9
U1_CH1_ST10_QP009,U1_CH1_ST10,Divisibility by 10
U1_CH1_ST10_QP010,U1_CH1_ST10,Simultaneous Divisibility
U1_CH1_ST10_QP011,U1_CH1_ST10,Unknown Digit using Divisibility Rule
U1_CH1_ST10_QP012,U1_CH1_ST10,Largest Possible Digit
U1_CH1_ST10_QP013,U1_CH1_ST10,Smallest Possible Digit
U1_CH1_ST10_QP014,U1_CH1_ST10,Missing Number using Divisibility
U1_CH1_ST10_QP015,U1_CH1_ST10,Statement-based Divisibility
U1_CH1_ST10_QP016,U1_CH1_ST10,Error Detection in Divisibility
U1_CH1_ST10_QP017,U1_CH1_ST10,Multi-step Divisibility Reasoning
U1_CH1_ST10_QP018,U1_CH1_ST10,Divisibility after Arithmetic Operation
U1_CH1_ST10_QP019,U1_CH1_ST10,Remainder-free Division
U1_CH1_ST10_QP020,U1_CH1_ST10,Identify Common Divisor
U1_CH1_ST2_QP001,U1_CH1_ST2,Correct Inclusion Relation
U1_CH1_ST2_QP002,U1_CH1_ST2,Incorrect Inclusion Relation
U1_CH1_ST2_QP003,U1_CH1_ST2,Complete Inclusion Chain
